courseName,name,path
Algebra 1,M01 T01 L01 A Picture Is Worth a Thousand Words,/data/CA_SM5e_A1_TIG_M01_T01_L01.json
Algebra 1,M01 T01 L02 A Sort of Sorts,/data/CA_SM5e_A1_TIG_M01_T01_L02.json
Algebra 1,M01 T01 L03 F of X,/data/CA_SM5e_A1_TIG_M01_T01_L03.json
Algebra 1,M01 T01 L04 Re-Engaging with Domain and Range,/data/CA_SM5e_A1_TIG_M01_T01_L04.json
Algebra 1,"M01 T01 L05 Function Families for 200, Alex",/data/CA_SM5e_A1_TIG_M01_T01_L05.json
Algebra 1,M01 T01 L06 Re-Engaging with Key Features of Graphs,/data/CA_SM5e_A1_TIG_M01_T01_L06.json
Algebra 1,M01 T02 L01 Is There a Pattern Here?,/data/CA_SM5e_A1_TIG_M01_T02_L01.json
Algebra 1,M01 T02 L02 The Password Is . . . Operations!,/data/CA_SM5e_A1_TIG_M01_T02_L02.json
Algebra 1,M01 T02 L03 Re-Engaging with Recursive Formulas for Sequences,/data/CA_SM5e_A1_TIG_M01_T02_L03.json
Algebra 1,M01 T02 L04 Did You Mean: Recursion?,/data/CA_SM5e_A1_TIG_M01_T02_L04.json
Algebra 1,M01 T02 L05 Re-Engaging with Explicit Formulas for Sequences,/data/CA_SM5e_A1_TIG_M01_T02_L05.json
Algebra 1,M01 T03 L01 Like a Glove,/data/CA_SM5e_A1_TIG_M01_T03_L01.json
Algebra 1,M01 T03 L02 Re-Engaging with Exploring Linear Regressions,/data/CA_SM5e_A1_TIG_M01_T03_L02.json
Algebra 1,M01 T03 L03 Gotta Keep It Correlatin',/data/CA_SM5e_A1_TIG_M01_T03_L03.json
Algebra 1,M01 T03 L04 The Residual Effect,/data/CA_SM5e_A1_TIG_M01_T03_L04.json
Algebra 1,M01 T03 L05 To Fit or Not to Fit? That Is the Question!,/data/CA_SM5e_A1_TIG_M01_T03_L05.json
Algebra 1,M01 T03 L06 Re-Engaging with Interpreting Linear Regression,/data/CA_SM5e_A1_TIG_M01_T03_L06.json
Algebra 1,M02 T04 L01 Connecting the Dots,/data/CA_SM5e_A1_TIG_M02_T04_L01.json
Algebra 1,M02 T04 L02 Re-Engaging with Arithmetic Sequences as Functions,/data/CA_SM5e_A1_TIG_M02_T04_L02.json
Algebra 1,"M02 T04 L03 Fun with Functions, Linear Ones",/data/CA_SM5e_A1_TIG_M02_T04_L03.json
Algebra 1,M02 T04 L04 Re-Engaging with Representations of Linear Functions,/data/CA_SM5e_A1_TIG_M02_T04_L04.json
Algebra 1,M02 T04 L05 Get Your Move On,/data/CA_SM5e_A1_TIG_M02_T04_L05.json
Algebra 1,M02 T04 L06 Re-Engaging with Linear Function Transformations,/data/CA_SM5e_A1_TIG_M02_T04_L06.json
Algebra 1,M02 T04 L07 Connect Four,/data/CA_SM5e_A1_TIG_M02_T04_L07.json
Algebra 1,M02 T04 L08 Re-Engaging with Comparing Linear Functions,/data/CA_SM5e_A1_TIG_M02_T04_L08.json
Algebra 1,M02 T05 L01 Strike a Balance,/data/CA_SM5e_A1_TIG_M02_T05_L01.json
Algebra 1,M02 T05 L02 It's Literally About Literal Equations,/data/CA_SM5e_A1_TIG_M02_T05_L02.json
Algebra 1,M02 T05 L03 Re-Engaging with Solving Literal Equations,/data/CA_SM5e_A1_TIG_M02_T05_L03.json
Algebra 1,M02 T05 L04 Not All Statements Are Made Equal,/data/CA_SM5e_A1_TIG_M02_T05_L04.json
Algebra 1,M02 T05 L05 Don't Confound Your Compounds,/data/CA_SM5e_A1_TIG_M02_T05_L05.json
Algebra 1,M02 T05 L06 Re-Engaging with Solving Inequalities,/data/CA_SM5e_A1_TIG_M02_T05_L06.json
Algebra 1,M02 T06 L01 Double the Fun,/data/CA_SM5e_A1_TIG_M02_T06_L01.json
Algebra 1,M02 T06 L02 Re-Engaging with Systems of Linear Equations,/data/CA_SM5e_A1_TIG_M02_T06_L02.json
Algebra 1,M02 T06 L03 The Elimination Round,/data/CA_SM5e_A1_TIG_M02_T06_L03.json
Algebra 1,M02 T06 L04 Re-Engaging with Solving Systems Using Linear Combinations,/data/CA_SM5e_A1_TIG_M02_T06_L04.json
Algebra 1,M02 T06 L05 Throwing Shade,/data/CA_SM5e_A1_TIG_M02_T06_L05.json
Algebra 1,M02 T06 L06 Re-Engaging with Graphs of Linear Inequalities,/data/CA_SM5e_A1_TIG_M02_T06_L06.json
